Date,Open,High,Low,Close,Volume,Close_Chg,Reg_5,Reg_10,EMA_20,EMA20_Cnt,EM_Diff_By_ATR,Curr_Supp,Prev_Supp,Curr_Res,Prev_Res,Signal_B,Signal_SL,Trail_Price,Signal_SP,PnL,Present_Value,Support,EMA20_Sig,Reg_Cross_Sig,Fib_Status
2019-09-20,1300.0,1422.0,1288.0,1408.75,1553642.0,8.8,1353.1899999998732,1336.7963636363675,1350.44,1.0,0.07,1289.5900000000365,1373.9000000001088,0.0,0.0,1408.75,1365.75,0.0,,0.0,0.0,Price_Crs_Abv_Prev_Sup,Cross_Abv_20EMA,Cross_Up,
2019-09-23,1435.0,1492.0,1430.0,1481.35,947082.0,5.2,1446.7600000000166,1383.0454545454759,1362.91,2.0,0.35,0.0,0.0,0.0,0.0,,,1451.35,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2019-09-24,1492.7,1493.5,1450.8,1456.8,454330.0,-1.7,1486.4199999999983,1415.367272727326,1371.85,3.0,0.49,0.0,0.0,0.0,0.0,,,0.0,1451.35,3287.9163499999922,120275.50896199993,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,
2019-09-25,1456.8,1456.8,1411.1,1438.7,352260.0,-1.2,1483.2999999998137,1436.9981818181732,1378.22,4.0,0.54,0.0,0.0,1486.4199999999983,1377.8199999997323,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Abv_Reg10,Cls_Crs_Abv_F382
2019-09-26,1442.2,1461.8,1437.9,1454.1,392306.0,1.1,1457.550000000173,1459.7790909090763,1385.45,5.0,0.63,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Cross_Down,
2019-09-27,1449.9,1489.8,1440.45,1476.8,538268.0,1.6,1459.1900000000371,1487.1036363636304,1394.15,6.0,0.71,1457.550000000173,1289.5900000000365,0.0,0.0,1476.8,1431.8,0.0,,0.0,0.0,Price_Crs_Abv_Supp,Close_GT_20EMA,Reg5_Blw_Reg10,
2019-09-30,1477.0,1477.0,1431.1,1443.75,426995.0,-2.2,1456.4300000000471,1493.9245454545526,1398.87,7.0,0.68,0.0,0.0,0.0,0.0,,1431.8,0.0,,-3645.0,116384.09011399993,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2019-10-01,1450.25,1467.25,1427.25,1439.25,424063.0,-0.3,1448.669999999966,1487.2063636363164,1402.72,8.0,0.64,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_GT_20EMA,Reg5_Blw_Reg10,
2019-10-03,1444.9,1447.9,1377.55,1393.15,435985.0,-3.2,1409.5200000001605,1455.6736363636828,1401.8,0.0,0.48,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Cross_Blw_20EMA,Reg5_Blw_Reg10,Cls_Crs_Abv_F50
2019-10-04,1393.95,1398.3,1364.0,1367.85,503733.0,-1.8,1370.46000000005,1407.8118181819355,1398.57,0.0,0.33,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,Cls_Crs_Abv_F618
2019-10-07,1368.0,1378.3,1353.1,1366.0,212755.0,-0.1,1356.620000000028,1378.1527272727544,1395.47,0.0,0.2,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,Close_LT_20EMA,Reg5_Blw_Reg10,
